estimator_key,kmat_fun,avg_test_score,most_freq_best_param
aitchison-rbf_c_0.0003139757859959345_g_0.0005273705441148164,<function wrap.<locals>.calc at 0x283dac820>,-0.28035163525214984,0.14348314778690682
aitchison_c_0.0003139757859959345,<function wrap.<locals>.calc at 0x283dac5e0>,-0.2814624312597876,103.08431575092484
generalized-js_a_1_b_0.5,<function wrap.<locals>.calc at 0x283db2790>,-0.30051883795852496,0.05122566906765951
hilbertian_a_1_b_-1,<function wrap.<locals>.calc at 0x283dacf70>,-0.3036475899098159,0.1365116649868768
heat-diffusion_t_0.5213347409242867,<function wrap.<locals>.calc at 0x283daac10>,-0.3127636037516151,6.384453957747149e-21
rbf_g_0.5975083542181368,<function wrap.<locals>.calc at 0x283db2a60>,-0.3601746060659575,0.07072219414180836
linear,<function kmat_linear at 0x14fabd550>,-0.36889498910528834,0.023196901623729383
